audio_id,split,label,suggested,p_label,p_suggested,reason,original_filename,source,path,score
AUD-005487,train,Background Noise,Animal Sound,0.0,1.0,model is sure it is Animal Sound,esc50_1-54505-A-21.wav,ESC-50:54505:sneezing,audio_dataset/processed/train/Background Noise/AUD-005487.wav,1.3
AUD-005544,train,Background Noise,Gunshot,0.0,1.0,model is sure it is Gunshot,esc50_2-117616-A-48.wav,ESC-50:117616:fireworks,audio_dataset/processed/train/Background Noise/AUD-005544.wav,1.3
AUD-005607,test,Background Noise,Animal Sound,0.0,1.0,model is sure it is Animal Sound,esc50_2-79775-A-26.wav,ESC-50:79775:laughing,audio_dataset/processed/test/Background Noise/AUD-005607.wav,1.3
AUD-005611,train,Background Noise,Glass Breaking,0.0,1.0,model is sure it is Glass Breaking,esc50_2-81190-A-34.wav,ESC-50:81190:can_opening,audio_dataset/processed/train/Background Noise/AUD-005611.wav,1.3
AUD-000693,train,Alarm or Siren,Background Noise,0.0,0.998,model is sure it is Background Noise,esc50_5-211408-A-37.wav,ESC-50:211408:clock_alarm,audio_dataset/processed/train/Alarm or Siren/AUD-000693.wav,1.3
AUD-000605,test,Glass Breaking,Background Noise,0.0,0.654,label gets a low probability,extra_freesound_community-glass-breaking-94894.mp3,extra:Glass Breaking (manual),audio_dataset/processed/test/Glass Breaking/AUD-000605.wav,1.3
AUD-005639,train,Background Noise,Animal Sound,0.0,1.0,model is sure it is Animal Sound,esc50_3-110536-A-26.wav,ESC-50:110536:laughing,audio_dataset/processed/train/Background Noise/AUD-005639.wav,1.3
AUD-005678,test,Background Noise,Glass Breaking,0.0,1.0,model is sure it is Glass Breaking,esc50_3-147342-A-34.wav,ESC-50:147342:can_opening,audio_dataset/processed/test/Background Noise/AUD-005678.wav,1.3
AUD-005073,val,Aggression,Panic Scream,0.0,1.0,model is sure it is Panic Scream,vsd_angry_113_00171.wav,VSD:angry_113@17.1-22.8s,audio_dataset/processed/val/Aggression/AUD-005073.wav,1.3
AUD-005081,train,Aggression,Background Noise,0.0,0.997,model is sure it is Background Noise,vsd_angry_121_00613.wav,VSD:angry_121@61.3-66.3s,audio_dataset/processed/train/Aggression/AUD-005081.wav,1.3
AUD-005153,train,Aggression,Animal Sound,0.0,1.0,model is sure it is Animal Sound,vsd_angry_182_00392.wav,VSD:angry_182@39.3-41.1s,audio_dataset/processed/train/Aggression/AUD-005153.wav,1.3
AUD-005154,train,Aggression,Animal Sound,0.0,1.0,model is sure it is Animal Sound,vsd_angry_182_00424.wav,VSD:angry_182@42.4-45.7s,audio_dataset/processed/train/Aggression/AUD-005154.wav,1.3
AUD-005177,train,Aggression,Gunshot,0.0,1.0,model is sure it is Gunshot,vsd_angry_204_00000.wav,VSD:angry_204@0.0-2.1s,audio_dataset/processed/train/Aggression/AUD-005177.wav,1.3
AUD-005182,train,Aggression,Gunshot,0.0,1.0,model is sure it is Gunshot,vsd_angry_204_01318.wav,VSD:angry_204@131.8-133.7s,audio_dataset/processed/train/Aggression/AUD-005182.wav,1.3
AUD-005011,train,Aggression,Background Noise,0.0,1.0,model is sure it is Background Noise,vsd_angry_084_00708.wav,VSD:angry_084@70.9-76.9s,audio_dataset/processed/train/Aggression/AUD-005011.wav,1.3
AUD-005013,train,Aggression,Animal Sound,0.0,0.868,model is sure it is Animal Sound,vsd_angry_085_00212.wav,VSD:angry_085@21.2-24.4s,audio_dataset/processed/train/Aggression/AUD-005013.wav,1.3
AUD-005022,val,Aggression,Animal Sound,0.0,0.986,model is sure it is Animal Sound,vsd_angry_092_00717.wav,VSD:angry_092@71.7-75.8s,audio_dataset/processed/val/Aggression/AUD-005022.wav,1.3
AUD-005024,train,Aggression,Panic Scream,0.0,0.999,model is sure it is Panic Scream,vsd_angry_093_00134.wav,VSD:angry_093@13.4-19.4s,audio_dataset/processed/train/Aggression/AUD-005024.wav,1.3
AUD-001374,train,Alarm or Siren,Animal Sound,0.0,0.98,model is sure it is Animal Sound,us8k_74364-8-1-0.wav,UrbanSound8K:74364:siren,audio_dataset/processed/train/Alarm or Siren/AUD-001374.wav,1.3
AUD-001427,train,Alarm or Siren,Animal Sound,0.0,1.0,model is sure it is Animal Sound,us8k_88121-8-1-0.wav,UrbanSound8K:88121:siren,audio_dataset/processed/train/Alarm or Siren/AUD-001427.wav,1.3
AUD-001428,train,Alarm or Siren,Animal Sound,0.0,0.997,model is sure it is Animal Sound,us8k_88121-8-2-0.wav,UrbanSound8K:88121:siren,audio_dataset/processed/train/Alarm or Siren/AUD-001428.wav,1.3
AUD-000659,train,Alarm or Siren,Gunshot,0.0,0.975,model is sure it is Gunshot,esc50_3-148297-A-37.wav,ESC-50:148297:clock_alarm,audio_dataset/processed/train/Alarm or Siren/AUD-000659.wav,1.3
AUD-000677,test,Alarm or Siren,Background Noise,0.0,0.98,model is sure it is Background Noise,esc50_4-204684-A-37.wav,ESC-50:204684:clock_alarm,audio_dataset/processed/test/Alarm or Siren/AUD-000677.wav,1.3
AUD-004910,train,Aggression,Background Noise,0.0,1.0,model is sure it is Background Noise,vsd_angry_018_00455.wav,VSD:angry_018@45.5-51.5s,audio_dataset/processed/train/Aggression/AUD-004910.wav,1.3
AUD-004912,val,Aggression,Background Noise,0.0,0.928,model is sure it is Background Noise,vsd_angry_021_00190.wav,VSD:angry_021@19.0-25.0s,audio_dataset/processed/val/Aggression/AUD-004912.wav,1.3
AUD-004919,val,Aggression,Animal Sound,0.0,1.0,model is sure it is Animal Sound,vsd_angry_026_00490.wav,VSD:angry_026@49.0-52.0s,audio_dataset/processed/val/Aggression/AUD-004919.wav,1.3
AUD-004934,train,Aggression,Animal Sound,0.0,0.999,model is sure it is Animal Sound,vsd_angry_039_00470.wav,VSD:angry_039@47.0-52.0s,audio_dataset/processed/train/Aggression/AUD-004934.wav,1.3
AUD-004582,train,Panic Scream,Animal Sound,0.0,0.984,model is sure it is Animal Sound,scream_LFfJ0bc8V1M_out.wav,Kaggle Human Screaming Detection:Screaming,audio_dataset/processed/train/Panic Scream/AUD-004582.wav,1.3
